Pourcentage erreur;Voisin;Dimension
25.66;1;('Taille', 'Polarite')
29.61;2;('Taille', 'Polarite')
28.29;3;('Taille', 'Polarite')
27.63;4;('Taille', 'Polarite')
22.7;5;('Taille', 'Polarite')
25.33;6;('Taille', 'Polarite')
24.01;7;('Taille', 'Polarite')
25.0;8;('Taille', 'Polarite')
24.34;9;('Taille', 'Polarite')
25.33;10;('Taille', 'Polarite')
24.01;11;('Taille', 'Polarite')
22.37;12;('Taille', 'Polarite')
22.04;13;('Taille', 'Polarite')
24.01;14;('Taille', 'Polarite')
22.37;15;('Taille', 'Polarite')
22.7;16;('Taille', 'Polarite')
21.71;17;('Taille', 'Polarite')
21.38;18;('Taille', 'Polarite')
20.72;19;('Taille', 'Polarite')
42.76;1;('Taille', 'Charge')
43.09;2;('Taille', 'Charge')
42.43;3;('Taille', 'Charge')
42.43;4;('Taille', 'Charge')
42.43;5;('Taille', 'Charge')
42.43;6;('Taille', 'Charge')
42.11;7;('Taille', 'Charge')
42.76;8;('Taille', 'Charge')
42.76;9;('Taille', 'Charge')
43.09;10;('Taille', 'Charge')
42.11;11;('Taille', 'Charge')
42.11;12;('Taille', 'Charge')
42.11;13;('Taille', 'Charge')
42.11;14;('Taille', 'Charge')
41.78;15;('Taille', 'Charge')
41.78;16;('Taille', 'Charge')
41.78;17;('Taille', 'Charge')
41.78;18;('Taille', 'Charge')
40.13;19;('Taille', 'Charge')
21.05;1;('Taille', 'Volume')
24.67;2;('Taille', 'Volume')
24.01;3;('Taille', 'Volume')
27.96;4;('Taille', 'Volume')
23.68;5;('Taille', 'Volume')
25.0;6;('Taille', 'Volume')
22.7;7;('Taille', 'Volume')
24.34;8;('Taille', 'Volume')
25.0;9;('Taille', 'Volume')
25.0;10;('Taille', 'Volume')
25.0;11;('Taille', 'Volume')
26.64;12;('Taille', 'Volume')
25.99;13;('Taille', 'Volume')
26.64;14;('Taille', 'Volume')
25.99;15;('Taille', 'Volume')
27.63;16;('Taille', 'Volume')
25.33;17;('Taille', 'Volume')
25.0;18;('Taille', 'Volume')
24.67;19;('Taille', 'Volume')
31.25;1;('Taille', 'Tendance helice')
32.89;2;('Taille', 'Tendance helice')
25.33;3;('Taille', 'Tendance helice')
29.28;4;('Taille', 'Tendance helice')
26.97;5;('Taille', 'Tendance helice')
30.92;6;('Taille', 'Tendance helice')
27.3;7;('Taille', 'Tendance helice')
30.92;8;('Taille', 'Tendance helice')
27.3;9;('Taille', 'Tendance helice')
29.28;10;('Taille', 'Tendance helice')
25.33;11;('Taille', 'Tendance helice')
28.95;12;('Taille', 'Tendance helice')
25.0;13;('Taille', 'Tendance helice')
26.64;14;('Taille', 'Tendance helice')
25.66;15;('Taille', 'Tendance helice')
28.62;16;('Taille', 'Tendance helice')
26.97;17;('Taille', 'Tendance helice')
29.93;18;('Taille', 'Tendance helice')
25.0;19;('Taille', 'Tendance helice')
25.0;1;('Taille', 'Tendance feuillet')
26.64;2;('Taille', 'Tendance feuillet')
25.66;3;('Taille', 'Tendance feuillet')
27.63;4;('Taille', 'Tendance feuillet')
25.33;5;('Taille', 'Tendance feuillet')
26.97;6;('Taille', 'Tendance feuillet')
25.66;7;('Taille', 'Tendance feuillet')
24.01;8;('Taille', 'Tendance feuillet')
24.67;9;('Taille', 'Tendance feuillet')
24.67;10;('Taille', 'Tendance feuillet')
24.67;11;('Taille', 'Tendance feuillet')
22.37;12;('Taille', 'Tendance feuillet')
22.7;13;('Taille', 'Tendance feuillet')
22.37;14;('Taille', 'Tendance feuillet')
22.04;15;('Taille', 'Tendance feuillet')
22.04;16;('Taille', 'Tendance feuillet')
21.05;17;('Taille', 'Tendance feuillet')
22.04;18;('Taille', 'Tendance feuillet')
21.71;19;('Taille', 'Tendance feuillet')
32.89;1;('Taille', 'Flexibilite')
34.87;2;('Taille', 'Flexibilite')
31.58;3;('Taille', 'Flexibilite')
34.54;4;('Taille', 'Flexibilite')
29.28;5;('Taille', 'Flexibilite')
30.26;6;('Taille', 'Flexibilite')
29.28;7;('Taille', 'Flexibilite')
31.91;8;('Taille', 'Flexibilite')
29.61;9;('Taille', 'Flexibilite')
31.25;10;('Taille', 'Flexibilite')
27.3;11;('Taille', 'Flexibilite')
32.57;12;('Taille', 'Flexibilite')
31.91;13;('Taille', 'Flexibilite')
33.55;14;('Taille', 'Flexibilite')
31.91;15;('Taille', 'Flexibilite')
33.55;16;('Taille', 'Flexibilite')
32.57;17;('Taille', 'Flexibilite')
32.57;18;('Taille', 'Flexibilite')
32.57;19;('Taille', 'Flexibilite')
26.32;1;('Taille', 'Hydropathie')
29.61;2;('Taille', 'Hydropathie')
22.7;3;('Taille', 'Hydropathie')
23.68;4;('Taille', 'Hydropathie')
23.03;5;('Taille', 'Hydropathie')
24.67;6;('Taille', 'Hydropathie')
27.3;7;('Taille', 'Hydropathie')
26.64;8;('Taille', 'Hydropathie')
27.63;9;('Taille', 'Hydropathie')
26.64;10;('Taille', 'Hydropathie')
26.64;11;('Taille', 'Hydropathie')
27.3;12;('Taille', 'Hydropathie')
28.29;13;('Taille', 'Hydropathie')
26.64;14;('Taille', 'Hydropathie')
25.33;15;('Taille', 'Hydropathie')
26.64;16;('Taille', 'Hydropathie')
